"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202109090tam","PresDa01","QB","Dak Prescott","DAL",42,58,403,3,1,1,12,31,101.4,4,13,0,7,0,0,0,0,0,0,3,1,63,62,1,"DAL","TAM",0,0,0,1,0,0,31.42,31.42,27.42,27.42,30.42,30.42,385,9,32,2,8,5,0,0,0,0,83,99,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","ElliEz00","RB","Ezekiel Elliott","DAL",0,0,0,0,0,0,0,0,0,11,33,0,13,2,2,6,0,3,0,0,11,11,0,11,"DAL","TAM",0,0,0,0,0,0,5.9,5.9,4.9,4.9,4.9,4.9,0,0,0,0,20,13,0,0,6,0,70,83,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","PollTo00","RB","Tony Pollard","DAL",0,0,0,0,0,0,0,0,0,3,14,0,11,4,4,29,0,11,0,0,3,3,0,3,"DAL","TAM",0,0,0,0,0,0,8.3,8.3,6.3,6.3,6.3,6.3,0,0,0,0,10,4,0,-9.2,38,0,20,24,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","CoopAm00","WR","Amari Cooper","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,139,2,28,0,0,0,0,0,0,"DAL","TAM",0,0,0,0,0,1,41.9,41.9,32.4,32.4,34.4,34.4,0,0,0,0,0,0,0,127.5,29,0,74,88,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","LambCe00","WR","CeeDee Lamb","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,104,1,31,0,0,0,0,0,0,"DAL","TAM",0,0,0,0,0,1,26.4,26.4,19.9,19.9,21.9,21.9,0,0,0,0,0,0,0,159,63,2,61,73,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","SchuDa00","TE","Dalton Schultz","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,45,0,16,0,0,0,0,0,0,"DAL","TAM",0,0,0,0,0,0,10.5,10.5,7.5,7.5,7.5,7.5,0,0,0,0,0,0,0,13.8,31,0,57,68,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","GallMi00","WR","Michael Gallup","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,36,0,12,0,0,0,0,0,0,"DAL","TAM",0,0,0,0,0,0,7.6,7.6,5.6,5.6,5.6,5.6,0,0,0,0,0,0,0,42,26,0,50,60,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","WilsCe01","WR","Cedrick Wilson Jr.","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,0,13,0,0,0,0,0,0,"DAL","TAM",0,0,0,0,0,0,5.4,5.4,3.9,3.9,3.9,3.9,0,0,0,0,0,0,0,24,0,0,34,40,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","JarwBl00","TE","Blake Jarwin","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,0,7,0,0,0,0,0,0,"DAL","TAM",0,0,0,0,0,0,5,5,3.5,3.5,3.5,3.5,0,0,0,0,0,0,0,15,5,0,48,57,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","BradTo00","QB","Tom Brady","TAM",32,50,379,4,2,0,0,47,97,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,"TAM","DAL",0,0,0,1,0,0,32.16,32.16,27.16,27.16,31.16,31.16,454,7,11,1,0,0,0,0,0,0,65,100,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
